Name,Phone 1 - Type,Phone 1 – Value
112 BXL BACKUP 1,Mobile,+32471512857   
112 BXL BACKUP 2,Mobile,+32471512858
112 BXL BACKUP 3,Mobile,+32471512859
112 ANT BACKUP 1,Mobile,+32471513146
112 ANT BACKUP 2,Mobile,+32471513147
112 ANT BACKUP 3,Mobile,+32471513148
112 HAI BACKUP 1,Mobile,+32471513152    
112 HAI BACKUP 2,Mobile,+32471513162
112 HAI BACKUP 3,Mobile,+32471513172
112 LIE BACKUP 1,Mobile,+32471513156    
112 LIE BACKUP 2,Mobile,+32471513166
112 LIE BACKUP 3,Mobile,+32471513176
112 LIM BACKUP 1,Mobile,+32471513128    
112 LIM BACKUP 2,Mobile,+32471513137
112 LIM BACKUP 3,Mobile,+32471513139
112 LUX	BACKUP 1,Mobile,+32471513154  
112 LUX	BACKUP 2,Mobile,+32471513164  
112 LUX	BACKUP 3,Mobile,+32471513169
112 NAM BACKUP 1,Mobile,+32471512957    -  
112 NAM BACKUP 2,Mobile,+32471513158
112 NAM BACKUP 3,Mobile,+32471513159
112 OVL	BACKUP 1,Mobile,+32471512738  
112 OVL	BACKUP 2,Mobile,+32471512781  
112 OVL	BACKUP 3,Mobile,+32471512784
112 VBR BACKUP 1,Mobile,+32471512804  -  -  
112 VBR BACKUP 2,Mobile,+32471512865  
112 VBR BACKUP 3,Mobile,+32471512877
112 WVL BACKUP 1,Mobile,+32471512904  
112 WVL BACKUP 2,Mobile,+32471512970  
112 WVL BACKUP 3,Mobile,+32471513142
